             x               y  bin
    -11.999937       13.599972  328
    -11.999981       14.399993  334
     -11.99994       15.199911  334
    -11.999978       16.000005  334
    -12.000019       16.800089  334
    -12.000038       17.600078  334
    -11.999917       18.400019  353
    -12.000076       19.199907  353
    -11.999921       20.000064  353
    -11.199979      -20.799984  158
    -11.200021      -20.000052  158
    -11.199962       -19.20009  158
    -11.200098      -18.399997  158
    -11.200013      -17.600004  158
      -11.2001      -16.800095  158
     -11.20002      -15.999924  152
    -11.199998      -15.199989  152
    -11.200076      -14.399947  152
    -11.200023      -13.600077  152
     -11.19992       -12.79991  152
    -11.199979      -12.000034  152
    -11.199978       -11.20009  137
    -11.199924       -10.40002  137
    -11.199997      -9.6000837  137
    -11.199914      -8.8000984  137
    -11.200019      -8.0000936  137
    -11.200031      -7.1999372  151
    -11.200026      -6.3999175  151
    -11.199998      -5.5999719  151
    -11.199984      -4.8000446  151
    -11.199981        -3.99996  155
    -11.200038      -3.1999534  155
    -11.199979      -2.4000028  154
    -11.200064      -1.5999319  154
    -11.199937     -0.80008421  154
    -11.200028  -4.3999618e-05  154
    -11.199944      0.80009049  164
    -11.199925       1.5999887  164
    -11.200085       2.4000923  164
    -11.200019        3.200048  164
    -11.200089       3.9999942  173
     -11.20004       4.8000686  178
    -11.200044        5.599957  178
    -11.199951       6.4000266  178
    -11.200024       7.1999649  178
    -11.199985       8.0000246  222
    -11.199911       8.8000045  222
    -11.200093       9.6000977  222
    -11.200094       10.400013  222
    -11.199942       11.199934  289
    -11.199995       12.000053  289
    -11.199986       12.799948  289
    -11.200085       13.600009  289
    -11.200079       14.400092  334
    -11.200037       15.200062  334
    -11.199998       16.000044  334
     -11.19999       16.799935  334
    -11.199912        17.59994  334
    -11.199913       18.400003  332
    -11.199951       19.199935  353
     -11.19998       20.000038  353
    -10.399934      -20.000014  158
    -10.399947      -19.200063  158
    -10.400085      -18.399982  158
    -10.400071      -17.600064  158
    -10.399972      -16.800066  158
    -10.399907      -15.999937  152
