#              x               y      signal       noise
      -15.999929       1.5999548      125.19       10.85
      -15.999936       2.3999971      133.16       12.07
      -15.999937       3.1999560      133.93       11.19
      -16.000032       4.0000317      128.38       12.41
      -16.000046       4.7999049      127.26       11.20
      -15.999958       5.6000592      133.49       10.61
      -16.000010       6.4000700      144.70       10.48
      -15.999961       7.2000352      146.70       13.07
      -15.999997       7.9999266      142.63       12.25
      -15.999944       8.7999379      158.20       12.72
      -16.000043       9.5999344      182.71       12.62
      -16.000021       10.400019      178.04       13.46
      -16.000027       11.200026      180.47       13.77
      -16.000073       12.000036      188.85       13.75
      -16.000081       12.799976      180.44       13.48
      -16.000085       13.600024      143.59       12.04
      -16.000081       14.400031      129.27       10.91
      -15.999967       15.199922      116.46       10.70
      -16.000020       16.000054      118.13       10.47
      -15.999994       16.800088      102.43       10.30
      -15.999998       17.599961       84.96        9.85
      -16.000049       18.400019       82.87        9.06
      -15.999919       19.199987       96.69        9.68
      -16.000056       19.999998       91.04        9.52
      -15.999944       20.799942       48.55        7.34
      -15.199913      -20.799962       32.50        6.18
      -15.200069      -19.999942       35.06        5.31
      -15.200014      -19.199912       38.83        6.69
      -15.199930      -18.400068       38.57        6.57
      -15.200045      -17.599992       42.33        6.02
      -15.199972      -16.799945       44.60        6.06
      -15.199936      -15.999999       48.78        7.84
      -15.200099      -15.200031       51.74        6.60
      -15.200073      -14.399947       49.58        7.23
      -15.199906      -13.600088       66.88        8.50
      -15.199979      -12.799962       66.88        8.49
      -15.200039      -11.999971       77.68        8.41
      -15.200092      -11.199941       92.15        9.97
      -15.200028      -10.400094       87.35        9.35
      -15.199990      -9.6000661       97.35        9.23
      -15.200046      -8.8000767      100.78       10.42
      -15.199959      -8.0000090      112.86       11.61
      -15.199932      -7.2000640      118.95       10.98
      -15.199994      -6.3999557      120.69       11.01
      -15.199917      -5.6000453      123.42       11.46
      -15.200011      -4.7999738      108.28       10.11
      -15.199941      -3.9999448      117.06       11.07
      -15.200059      -3.1999649      116.48       11.19
      -15.199998      -2.4000404      115.94       10.13
      -15.199982      -1.5999711      124.21       10.65
      -15.199977     -0.80001830      127.20       11.04
      -15.199922 -8.6944630e-005      129.19       11.31
      -15.200047      0.80001541      127.57       10.84
      -15.199906       1.6000600      130.42       11.70
      -15.199927       2.3999874      136.03       11.54
      -15.200087       3.2000171      138.46       11.55
      -15.199927       4.0000616      128.27       10.84
      -15.199915       4.8000537      128.93       11.08
      -15.200028       5.6000613      137.52       12.18
      -15.200065       6.4000069      142.53       11.79
      -15.199903       7.2000847      145.52       12.13
      -15.199937       7.9999762      165.31       12.03
      -15.199998       8.8000824      173.40       12.87
      -15.199993       9.5999457      200.08       14.58
      -15.200013       10.399987      215.97       14.14
      -15.199992       11.200051      207.83       14.49
      -15.199976       11.999994      200.32       13.88
      -15.200085       12.799922      175.19       13.59
      -15.199942       13.600044      168.76       13.64
      -15.200048       14.399915      144.37       12.34
      -15.200078       15.200048      120.83       11.91
      -15.199960       15.999928      114.48       10.99
      -15.199931       16.799938      110.59       10.26
      -15.200012       17.599963       93.84        9.54
      -15.200025       18.399990       82.74        9.60
      -15.200026       19.199959      122.17       11.23
      -15.199979       19.999988       98.04        9.87
      -15.199988       20.800029       46.41        6.89
      -14.400038      -20.799959       34.26        5.38
      -14.400029      -19.999915       34.38        6.56
      -14.399937      -19.199928       38.69        6.36
      -14.399973      -18.400040       40.55        7.09
      -14.399946      -17.599993       45.86        6.89
      -14.400085      -16.799977       45.77        5.84
      -14.399902      -16.000069       47.52        6.38
      -14.399929      -15.200057       53.25        7.54
      -14.399982      -14.400053       58.00        7.48
      -14.399959      -13.599940       69.22        8.28
      -14.400021      -12.800060       69.28        8.91
      -14.399921      -12.000055       79.71        9.84
      -14.399906      -11.199953       86.65        9.69
      -14.399953      -10.399934       87.98        9.90
      -14.399909      -9.6000488       98.11       10.64
      -14.400041      -8.8000930      106.57       10.78
      -14.399967      -7.9999745      118.78       11.00
      -14.399918      -7.2000414      111.07       11.02
      -14.400076      -6.4000138      113.35       10.47
      -14.399963      -5.6000376      113.63       10.76
      -14.400023      -4.7999399      112.94       10.13
      -14.399997      -4.0000679      107.82       10.12
      -14.400019      -3.2000171      118.61       10.92
      -14.399992      -2.3999129      115.93        9.23
      -14.399921      -1.5999929      128.73       12.03
      -14.399995     -0.80003862      121.62       11.21
      -14.400001  1.9849229e-005      130.78       11.13
      -14.400052      0.79991988      132.59       12.00
      -14.399989       1.5999170      142.77       11.87
      -14.399915       2.3999089      136.87       12.40
      -14.399915       3.1999377      133.04       11.38
      -14.400068       3.9999488      138.77       13.04
      -14.400070       4.7999299      129.75       11.62
      -14.400008       5.5999966      147.86       11.81
      -14.399947       6.3999977      143.36       12.37
      -14.400005       7.2000972      155.05       11.34
      -14.400033       8.0000050      159.55       12.00
      -14.400079       8.8000225      178.09       13.14
      -14.399957       9.6000865      215.05       14.46
      -14.399936       10.399941      235.97       15.36
      -14.400037       11.200037      241.06       15.36
      -14.399984       11.999968      237.13       14.80
      -14.400064       12.799981      210.70       14.13
      -14.399955       13.599943      184.86       13.86
      -14.400041       14.400010      136.75       11.67
      -14.400075       15.199934      141.61       12.07
      -14.399943       15.999991      123.63       10.71
      -14.399914       16.800088      111.29       10.05
      -14.400048       17.599906       98.46       10.66
      -14.400097       18.399902       93.98        8.71
      -14.400066       19.199920       66.41        7.52
      -14.400091       20.000048       55.81        6.77
